experiment_id,candidate,alpha,validation_mae_nm,validation_rmse_nm,validation_r2,validation_p95_error_nm
TBASE-001,alpha=10.0,10.0,76.61315551407242,92.61236059847786,0.7532078855432779,176.57789758437127
TBASE-001,alpha=1.0,1.0,77.11235038448835,92.99612759747997,0.7511583340684431,175.25270352120825
TBASE-001,alpha=0.1,0.1,77.27980084279422,93.18080880574922,0.7501690022939592,175.84703721097117
TBASE-001,alpha=0.01,0.01,77.30088821783397,93.20654039413452,0.7500310031481477,176.04800915212837
TBASE-001,alpha=100.0,100.0,77.63815726113019,93.7752096603407,0.7469714898274382,176.1266516490338
