experiment_id,candidate,n_estimators,max_depth,min_samples_leaf,validation_mae_nm,validation_rmse_nm,validation_r2,validation_p95_error_nm
TBASE-002,1,300,,1,23.321647019324573,41.574598996089556,0.9502664444749616,104.45121408971153
TBASE-002,2,300,20.0,1,23.459637877926095,41.65697893572699,0.9500691554309572,105.52624144914404
TBASE-002,3,300,20.0,2,23.488805318204346,41.59475959824342,0.9502181985960643,103.37664195910314
TBASE-002,4,300,12.0,2,23.60900589708369,41.39976741741842,0.9506838490402136,104.6139149347051
