split,count,mean,std,min,median,max
test,1890,110.26033682141986,176.05574749781167,-107.025146484375,32.34786605834961,698.3063011169434
train,7958,105.10520608874336,170.33506977306544,-106.98034222920737,33.963057835896805,704.0669854482015
validation,1798,105.66326551115597,185.06646983805098,-105.83746528625488,51.618414560953774,697.6224040985107
