epoch,train_loss,validation_loss,validation_mae_rpm,device
1,0.1332089295898678,0.0189823754581397,188.5826568603516,cuda
2,0.0444035002848001,0.0519064400465257,370.9373474121094,cuda
3,0.03430078826708,0.0059576860848644,99.39681243896484,cuda
4,0.0354239427903304,0.0084008518088447,127.62706756591795,cuda
5,0.0323931964521103,0.0051760899643201,102.94776153564452,cuda
6,0.0352140521781847,0.0057730255176487,100.76419830322266,cuda
7,0.0322565314380794,0.0206523407317979,209.74642944335935,cuda
8,0.0301535726337875,0.0060447842902213,109.43473815917967,cuda
9,0.0307063783167178,0.0034421566781588,72.689453125,cuda
10,0.0319754666316206,0.0125970888770992,162.95751953125,cuda
11,0.0302501147237029,0.0026260531316816,70.93067169189453,cuda
12,0.0292033299178326,0.0052972826345288,107.0416259765625,cuda
13,0.0285107220215739,0.0294157079482105,237.1229248046875,cuda
14,0.0285969462304685,0.0033315374693098,68.33029174804688,cuda
15,0.0278223360818208,0.0033928047222301,73.62501525878906,cuda
16,0.0282020528161101,0.012060729395681,173.71885681152344,cuda
17,0.0282456894939075,0.0115242632016854,139.49195861816406,cuda
18,0.0272538829721242,0.0034834644876345,83.33138275146484,cuda
19,0.0282047647850826,0.0023021022170521,62.7288818359375,cuda
20,0.0264034984976457,0.0078339729462237,136.00140380859375,cuda
21,0.0275657327850841,0.0325821252483812,290.6902160644531,cuda
22,0.028630364545815,0.0075471758328635,116.14852142333984,cuda
23,0.02822474063357484,0.00303605453523541,68.66205596923828,cuda
24,0.027907567746145216,0.002492265500494997,70.80889892578125,cuda
25,0.02686950372315271,0.0032610147229309825,68.19157409667969,cuda
