model,median_abs_error,mae,p75,p90,p95,p99,maximum
BASE-002,7.327112177793424,37.617969570673196,18.40610265597195,79.94506593270589,186.70398250407342,848.7264881070971,1438.898973864143
CNN-001,52.08843994140625,60.18789489542417,88.35958862304688,124.55156249999997,145.32523193359376,198.42844482421876,355.17822265625
