sample_id,rpm_mean,torque_mean_nm,order,expected_frequency_hz,search_halfwidth_hz,peak_frequency_hz,frequency_error_hz,peak_amplitude_dbfs
A-0070__W00011,1312.6908493041992,-14.210848490397137,0.5,10.939090410868326,2.133514404296875,11.0,0.06090958913167377,-34.01207052492985
A-0070__W00011,1312.6908493041992,-14.210848490397137,1.0,21.878180821736652,2.26702880859375,22.0,0.12181917826334754,-36.94984075732435
A-0070__W00011,1312.6908493041992,-14.210848490397137,1.5,32.81727123260498,2.400543212890625,31.0,-1.8172712326049805,-35.1649232945623
A-0070__W00011,1312.6908493041992,-14.210848490397137,2.0,43.756361643473305,2.5340576171875,42.0,-1.756361643473305,-14.345673616006891
A-0070__W00011,1312.6908493041992,-14.210848490397137,3.0,65.63454246520996,2.80108642578125,63.0,-2.634542465209961,-39.5390749253991
A-0070__W00011,1312.6908493041992,-14.210848490397137,4.0,87.51272328694661,3.068115234375,85.0,-2.51272328694661,-29.57313401535151
A-0714__W00000,1411.5301132202148,176.0428613026937,0.5,11.762750943501791,2.3649393717447915,13.0,1.237249056498209,-31.16756913408814
A-0714__W00000,1411.5301132202148,176.0428613026937,1.0,23.525501887003582,2.7298787434895835,23.0,-0.5255018870035819,-28.245676536308096
A-0714__W00000,1411.5301132202148,176.0428613026937,1.5,35.28825283050537,3.094818115234375,35.0,-0.2882528305053711,-42.16383743828045
A-0714__W00000,1411.5301132202148,176.0428613026937,2.0,47.051003774007164,3.459757486979167,47.0,-0.05100377400716383,-14.11332131478143
A-0714__W00000,1411.5301132202148,176.0428613026937,3.0,70.57650566101074,4.18963623046875,70.0,-0.5765056610107422,-40.26153754706574
A-0714__W00000,1411.5301132202148,176.0428613026937,4.0,94.10200754801433,4.919514973958334,93.0,-1.1020075480143277,-33.525130675272564
A-0225__W00002,2701.105308532715,-21.91564178466797,0.5,22.50921090443929,2.080108642578125,24.0,1.4907890955607108,-29.14050713153461
A-0225__W00002,2701.105308532715,-21.91564178466797,1.0,45.01842180887858,2.16021728515625,43.0,-2.0184218088785784,-39.27649936733596
A-0225__W00002,2701.105308532715,-21.91564178466797,1.5,67.52763271331787,2.240325927734375,67.0,-0.5276327133178711,-82.03812910727763
A-0225__W00002,2701.105308532715,-21.91564178466797,2.0,90.03684361775716,2.3204345703125,88.0,-2.0368436177571567,-59.38044976195528
A-0225__W00002,2701.105308532715,-21.91564178466797,3.0,135.05526542663574,2.48065185546875,133.0,-2.055265426635742,-82.19075063036519
A-0225__W00002,2701.105308532715,-21.91564178466797,4.0,180.0736872355143,2.640869140625,180.0,-0.07368723551431344,-93.31755634721388
A-0719__W00009,2705.629170735677,175.06888898213705,0.5,22.54690975613064,2.0788370768229165,24.0,1.4530902438693616,-30.184709819295477
A-0719__W00009,2705.629170735677,175.06888898213705,1.0,45.09381951226128,2.1576741536458335,43.0,-2.093819512261277,-28.869680709479443
A-0719__W00009,2705.629170735677,175.06888898213705,1.5,67.64072926839192,2.23651123046875,66.0,-1.6407292683919223,-37.41352697418891
A-0719__W00009,2705.629170735677,175.06888898213705,2.0,90.18763902452255,2.3153483072916665,89.0,-1.1876390245225537,-13.86380532524074
A-0719__W00009,2705.629170735677,175.06888898213705,3.0,135.28145853678384,2.4730224609375,133.0,-2.2814585367838447,-45.88488063650609
A-0719__W00009,2705.629170735677,175.06888898213705,4.0,180.3752780490451,2.6306966145833335,179.0,-1.3752780490451073,-29.48828161491224
A-0376__W00004,5047.675793965657,-19.57135009765625,0.5,42.063964949713814,2.0457763671875,44.0,1.9360350502861863,-28.871681289507784
A-0376__W00004,5047.675793965657,-19.57135009765625,1.0,84.12792989942763,2.091552734375,84.0,-0.12792989942762745,-20.109948321231634
A-0376__W00004,5047.675793965657,-19.57135009765625,1.5,126.19189484914143,2.1373291015625,126.0,-0.19189484914143407,-36.37805004328345
A-0376__W00004,5047.675793965657,-19.57135009765625,2.0,168.25585979885525,2.18310546875,169.0,0.7441402011447451,-13.724754878499752
A-0376__W00004,5047.675793965657,-19.57135009765625,3.0,252.38378969828287,2.274658203125,251.0,-1.3837896982828681,-40.17190382703626
A-0376__W00004,5047.675793965657,-19.57135009765625,4.0,336.5117195977105,2.3662109375,337.0,0.4882804022894902,-37.7738363515286
A-0249__W00011,4749.388834635417,178.74057896931967,0.5,39.57824028862847,2.5633036295572915,40.0,0.42175971137152857,-31.832661109095284
A-0249__W00011,4749.388834635417,178.74057896931967,1.0,79.15648057725694,3.126607259114583,78.0,-1.1564805772569429,-24.879841104538144
A-0249__W00011,4749.388834635417,178.74057896931967,1.5,118.73472086588542,3.689910888671875,116.0,-2.7347208658854214,-38.932548136365945
A-0249__W00011,4749.388834635417,178.74057896931967,2.0,158.31296115451389,4.253214518229166,158.0,-0.31296115451388573,-19.78364325066565
A-0249__W00011,4749.388834635417,178.74057896931967,3.0,237.46944173177084,5.37982177734375,235.0,-2.469441731770843,-48.55629342008541
A-0249__W00011,4749.388834635417,178.74057896931967,4.0,316.62592230902777,6.506429036458333,316.0,-0.6259223090277715,-41.28552430872449
