feature,count,mean,std,min,25%,50%,75%,max
rms,16503.0,0.12310223919693786,0.045027879325142295,0.0,0.09242704172170868,0.11943731295568363,0.14818159201174516,0.36158792103016024
peak_abs,16503.0,0.2958500142959993,0.1154897840609752,0.0,0.22669617372993303,0.2801329605903788,0.3379562429639421,1.0000086718221322
crest_factor,16503.0,2.4285392974405293,0.48143844540280084,0.0,2.1604590607679124,2.4089183029611916,2.6368995019215693,21.19195373471157
zero_crossing_rate,16503.0,0.013647046056781627,0.008274748995565503,0.0,0.006500406275392212,0.012688293018313644,0.01975123445215326,0.1571348209263079
spectral_centroid_hz,16503.0,99.66293467429831,50.23686336965077,0.0,47.06061589062456,99.43017705336376,143.23076533838238,575.7364400677562
spectral_bandwidth_hz,16503.0,42.26746368581021,31.356536882356483,0.0,20.15265043179945,36.97303309584541,60.702141782537936,1124.708976835459
spectral_rolloff_85_hz,16503.0,124.48991092528631,77.28250611512433,0.0,53.0,108.0,186.0,1308.0
spectral_flatness,16503.0,0.0037873009325965624,0.061192353991692545,7.417461435984e-09,4.223739278418262e-08,1.4647434281207364e-07,3.090542178050986e-07,0.9999999999999996
dominant_frequency_hz,16503.0,99.39853359995152,57.65908832858516,0.0,47.0,87.0,140.0,315.0
band_energy_0_250_hz,16503.0,0.9672550174881891,0.09035306003073149,0.0,0.9777046577532226,0.9942958120005646,0.9993482755072725,0.9999999998463118
band_energy_250_500_hz,16503.0,0.028088231247017217,0.06745360734130583,0.0,0.0005846594231826106,0.005139562190334936,0.019958218488544902,0.4869298476991369
band_energy_500_1000_hz,16503.0,0.000796174853316953,0.002082981701042411,0.0,7.358036065136527e-06,0.00013239376154634125,0.0006905595566852958,0.06759451093526261
band_energy_1000_2000_hz,16503.0,7.146955097209933e-05,0.0014768639606977775,0.0,5.96427794652274e-07,5.763398593271275e-06,3.2158464666428395e-05,0.09846168371795373
band_energy_2000_4000_hz,16503.0,2.3241402830876e-05,0.0009588540490995281,0.0,3.9996030080700276e-08,3.5782829520644224e-07,1.7122731912924652e-06,0.06731920135771356
band_energy_4000_8000_hz,16503.0,8.971977288811528e-06,0.0003886507508040501,0.0,2.3693938238090905e-09,1.6410607097494314e-08,3.1900222719579005e-08,0.025165317242171387
mfcc_01_mean,16503.0,-445.05363784177024,78.66665624905949,-1131.370849609375,-480.7583312988281,-438.4478454589844,-397.79832458496094,-300.16387939453125
mfcc_01_std,16503.0,54.668031022742696,18.271604059031958,0.0,42.15741157531738,54.61532211303711,67.68228530883789,131.10955810546875
mfcc_02_mean,16503.0,167.67266558965161,42.795470506785605,0.0,136.8421401977539,176.34063720703125,204.1955108642578,245.2640380859375
mfcc_02_std,16503.0,16.263514864663605,8.493504108375468,0.0,8.962053775787354,16.527809143066406,22.490089416503906,66.26734924316406
mfcc_03_mean,16503.0,76.1337369546445,18.923805595356946,-2.0417070388793945,65.08557891845703,81.14077758789062,89.41836166381836,111.69825744628906
mfcc_03_std,16503.0,12.750440628533795,6.40291225108799,0.0,7.1035826206207275,13.484106063842773,18.218531608581543,46.416561126708984
mfcc_04_mean,16503.0,45.719228755038685,15.878483467617489,0.0,31.69292449951172,44.23671340942383,60.799598693847656,72.71842956542969
mfcc_04_std,16503.0,6.1298590194349725,4.046737103315337,0.0,2.9702563285827637,4.6366095542907715,9.212950706481934,32.46849822998047
mfcc_05_mean,16503.0,39.50687064193693,9.568258501585596,0.0,32.24410629272461,38.322608947753906,48.51985549926758,58.032901763916016
mfcc_05_std,16503.0,5.234321939152804,3.1513107796241107,0.0,2.832230567932129,4.351660251617432,7.280738353729248,25.058368682861328
mfcc_06_mean,16503.0,30.576988956057534,9.630904663215116,0.0,24.30608081817627,29.759418487548828,38.37775230407715,54.21431350708008
mfcc_06_std,16503.0,3.8465542467458316,2.5770163734451406,0.0,1.7963670492172241,3.0415291786193848,5.638409376144409,20.440675735473633
mfcc_07_mean,16503.0,21.501438801268552,8.615284752044987,-5.417745590209961,15.88363265991211,21.469228744506836,28.237470626831055,38.717071533203125
mfcc_07_std,16503.0,2.823872747525572,1.936163775122801,0.0,1.3474915623664856,2.1974644660949707,3.939568281173706,16.443153381347656
mfcc_08_mean,16503.0,13.653252819117238,9.563739025166415,-15.94914436340332,7.571129322052002,14.705611228942871,20.50992774963379,31.625112533569336
mfcc_08_std,16503.0,2.413929539043412,1.4751027539282362,0.0,1.3075467348098755,2.0227787494659424,3.184885025024414,13.228402137756348
mfcc_09_mean,16503.0,11.627668206656338,7.7694181863150344,-17.06804656982422,7.4568891525268555,12.650726318359375,17.053235054016113,25.51947021484375
mfcc_09_std,16503.0,2.146951608102928,1.2825572767789466,0.0,1.2393307089805603,1.8120070695877075,2.744912624359131,11.31626033782959
mfcc_10_mean,16503.0,13.327089789567923,4.581475262547634,-9.313182830810547,10.897396087646484,13.968814849853516,16.32417106628418,26.05866813659668
mfcc_10_std,16503.0,2.3630027979357724,0.9827767250430782,0.0,1.7096977829933167,2.265568494796753,2.860935926437378,10.500548362731934
mfcc_11_mean,16503.0,9.295824518701407,4.47516978224709,-10.553398132324219,6.655210018157959,10.160444259643555,12.718779563903809,18.65690040588379
mfcc_11_std,16503.0,1.9640961945271813,0.8811398372961794,0.0,1.357630729675293,1.836705207824707,2.4026578664779663,11.360474586486816
mfcc_12_mean,16503.0,2.534675536664036,5.1155716621252765,-16.552696228027344,-1.0524014830589294,2.3895106315612793,6.591831922531128,13.925410270690918
mfcc_12_std,16503.0,1.443403118952819,0.8410675839674528,0.0,0.9159654676914215,1.2406001091003418,1.7009525895118713,13.181732177734375
mfcc_13_mean,16503.0,-1.9494244052521694,5.209137728534474,-18.37084197998047,-5.538251876831055,-2.526597499847412,1.9760488271713257,11.435463905334473
mfcc_13_std,16503.0,1.8476579990250366,0.9008517999614238,0.0,1.2381092309951782,1.6949150562286377,2.3054169416427612,10.75805377960205
