experiment_id,model_type,target,preprocessing_version,split_version,sample_manifest_version,order_analysis_version,feature_version,training_population,random_seed,hyperparameters,validation_mae_rpm,validation_rmse_rpm,validation_r2,validation_p95_error_rpm,test_mae_rpm,test_rmse_rpm,test_r2,test_p95_error_rpm,test_evaluated,selected_baseline
BASE-001,Ridge Regression,rpm_mean,PREP-001,SPLIT-001,SAMPLE-MANIFEST-001,ORDER-001,FEAT-001,steady_state_only,42,"{""alpha"": 10.0, ""scaler"": ""StandardScaler""}",151.4671734598702,201.7342268163193,0.9852846480387663,399.019255959541,,,,,False,False
BASE-002,Random Forest Regressor,rpm_mean,PREP-001,SPLIT-001,SAMPLE-MANIFEST-001,ORDER-001,FEAT-001,steady_state_only,42,"{""n_estimators"": 300, ""max_depth"": 12, ""min_samples_leaf"": 2}",37.61796957067318,127.39218219411957,0.9941319064097932,186.70398250407356,39.795796135215426,172.2243651354387,0.9903030365296205,120.98931231307917,True,True
